distance,center75_median,center75_mean,center75_std,center65_median,center65_mean,center65_std,center37_median,center37_mean,center37_std,center23_median,center23_mean,center23_std,corner75_median,corner75_mean,corner75_std,corner65_median,corner65_mean,corner65_std,corner37_median,corner37_mean,corner37_std,corner23_median,corner23_mean,corner23_std
30,01.05,01.09,0.26,01.05,01.07,0.21,1.26,1.18,0.29,1.24,1.37,0.53,1.11,1.1,0.1443317081,1.19,1.24,0.1567556485,1.35,1.43,0.2639575408,1.51,1.49,0.2074969879
50,1.26,1.26,0.18,1.33,1.38,0.31,1.32,1.39,0.4,1.48,1.48,0.55,1.43,1.48,0.1737706822,1.79,1.8,0.2298497698,1.77,1.85,0.2492589015,2.23,2.32,0.5827778307
75,1.225,1.22,0.16,1.22,1.25,0.31,1.485,1.43,0.47,1.27,1.51,0.89,2.19,2.19,0.1478343668,2.17,2.21,0.09911062842,2.35,2.37,0.3622718822,3.17,03.06,0.9168658117
100,1.54,1.45,0.24,1.26,1.34,0.34,1.66,1.63,0.52,1.875,02.01,0.79,3.74,3.71,0.2131955284,3.66,3.67,0.4047685553,3.49,3.41,0.4751736525,4.14,3.95,0.7932655608
125,1.655,1.62,0.15,1.62,1.7,0.48,1.61,1.56,0.47,02.03,2.12,0.8,4.27,4.26,0.4328267552,4.67,4.98,1.070455511,3.69,3.96,0.9007420552,4.78,4.76,1.388186917
